Site,Lat,Lon,LatCRU,LonCRU,Species,Climate,Reference
UK-beech,52.23,-0.46,52.25,-0.25,Fagus silvatica,Temperate,Hemming et al. (1998)
UK-pine,52.23,-0.46,52.25,-0.25,Pinus sylvestris,Temperate,Hemming et al. (1998)
UK-oak,52.23,-0.46,52.25,-0.25,Quercus robur,Temperate,Hemming et al. (1998)
Caz,37.80,2.95,37.75,-2.75,Pinus nigra,Temperate,Andreu-Hayles et al. (2011)
Urb,42.23,1.70,42.25,1.75,Pinus uncinata,Temperate,Andreu-Hayles et al. (2011)
Turuhansk,65.80,87.90,65.75,87.75,Pinus sylvestris,Boreal,Arneth et al. (2002)
Krasnoyarsk,56.00,92.90,56.25,92.75,Pinus sylvestris,Boreal,Arneth et al. (2002)
Berninger,68.46,25.93,68.25,25.75,Pinus sylvestris,Boreal,Berninger et al. (2000)
Bert_select,46.52,6.02,46.75,6.25,Abies alba,Temperate,Bert et al. (1997)
Bert_evenage,46.52,6.02,46.75,6.25,Abies alba,Temperate,Bert et al. (1997)
Duquesnay_copp,49.00,6.00,49.25,6.25,Fagus silvatica,Temperate,Duquesnay et al. (1998)
Duquesnay_high,49.00,6.00,49.25,6.25,Fagus silvatica,Temperate,Duquesnay et al. (1998)
Feng_A,37.43,-112.47,37.25,-112.25,Pinus edulis,Semi-Arid,Feng (1999)
Feng_B,37.50,-108.33,37.25,-108.25,Pinus edulis,Semi-Arid,Feng (1999)
Feng_C,37.53,-118.22,37.75,-118.25,Pinus longaeva,,Feng (1999)
Feng_D,-40.05,-74.13,-40.25,-73.75,Fitzroya cupresoides,,Feng (1999)
Feng_E,30.67,34.00,30.75,34.25,Juniperous phoemicea,,Feng (1999)
Feng_F,35.92,-121.37,35.75,-121.25,Pinus ponderosa,,Feng (1999)
Feng_G,34.15,118.73,34.25,118.75,Quercus lobata,,Feng (1999)
Feng_H,57.92,-152.60,57.75,-152.75,Picea sitchensis,,Feng (1999)
Linares,36.69,-5.02,36.75,-5.25,Abies pinsapo,,Linares et al. (2009)
Nock1,15.67,99.17,15.75,99.25,Melia,Tropical,Nock et al. (2011)
Nock2,15.67,99.17,15.75,99.25,Toona,Tropical,Nock et al. (2011)
Nock3,15.67,99.17,15.75,99.25,Chukrasia,Tropical,Nock et al. (2011)
Silva_grass,-28.59,-48.82,-28.75,-48.75,Araucaria angustifolia,Temperate,Silva et al. (2009)
Silva_forest,-29.43,-25.39,-29.25,-25.25,Araucaria angustifolia,Temperate,Silva et al. (2009)
Taimyr,70.63,103.20,70.75,103.25,Larix gmelinii,Boreal,Sidorova et al. (2010)
Yakutia,70.00,148.00,70.25,148.25,Larix gmelinii,Boreal,Sidorova et al. (2010)
Siberia,64.53,100.23,64.25,100.25,Larix gmelinii,Boreal,Sidorova et al. (2009)
Penuelas_central,41.77,2.43,41.75,2.25,Fagus sylvatica,Temperate,Penuelas et al. (2009)
Penuelas_high,41.77,2.43,41.75,2.25,Fagus sylvatica,Temperate,Penuelas et al. (2009)
Penuelas_low,41.77,2.43,41.75,2.25,Fagus sylvatica,Temperate,Penuelas et al. (2009)