Site,n,a,b,r2,Latitude,Longitude
AU-Fog,15,58.97,-1.91,0.2,-12.54,131.31
AU-How,33,-7.39,-0.69,0.32,-12.49,131.15
AU-Tum,7,-37.48,-0.35,0.72,-35.66,148.15
BE-Bra,27,-1.18,-0.43,0.59,51.31,4.52
BE-Lon,16,-26.47,0.57,0.18,50.55,4.74
BE-Vie,45,2.02,-0.4,0.37,50.31,6
BW-Ma1,29,-208.4,-1.56,0.05,-19.92,23.56
CA-NS1,17,-1.09,-0.38,0.71,55.88,-98.48
CA-NS2,16,1.61,-0.4,0.49,55.91,-98.52
CA-NS3,10,-7.47,-0.37,0.47,55.91,-98.38
CA-NS4,7,-5.18,-0.56,0.47,55.91,-98.38
CA-NS5,18,-12.08,0.11,0.1,55.86,-98.49
CA-NS6,16,20.92,0.4,0.19,55.92,-98.96
CA-NS7,11,-10.27,0.48,0.3,56.64,-99.95
CH-Oe1,26,-6.24,-0.52,0.71,47.29,7.73
CH-Oe2,7,-34.7,-0.68,0.77,47.29,7.73
CZ-BK1,28,-28.2,-0.71,0.03,49.5,18.54
CZ-wet,6,147.67,-0.37,0.88,49.03,14.77
DE-Bay,11,10.89,-0.6,0.75,50.14,11.87
DE-Geb,17,10.2,-0.35,0.05,51.1,10.91
DE-Gri,10,39.87,-0.65,0.59,50.95,13.51
DE-Kli,14,34.31,-0.45,0.12,50.89,13.52
DE-Meh,19,51.73,-0.51,0.54,51.28,10.66
DE-Tha,47,2.16,-0.3,0.6,50.96,13.57
DE-Wet,24,-2.53,-0.55,0.32,50.45,11.46
DK-Lva,10,-19.24,-1.02,0.38,55.68,12.08
DK-Ris,10,-34.06,-0.5,0.27,55.53,12.1
DK-Sor,46,9.78,-0.26,0.41,55.49,11.65
ES-ES1,64,-2.47,-0.53,0.33,39.35,-0.32
ES-ES2,25,-67.11,0.72,0.09,39.28,-0.32
ES-LMa,27,-7.3,-0.2,0.22,39.94,-5.77
ES-VDA,14,-15.79,-0.6,0.36,42.15,1.45
FI-Hyy,29,1.52,-0.49,0.6,61.85,24.29
FI-Kaa,16,10.37,-0.43,0.31,69.14,27.3
FI-Sii,6,-10.51,-0.35,0.33,61.83,24.19
FR-Fon,8,-25.77,-0.28,0.47,48.48,2.78
FR-Gri,9,-27,-0.45,0.19,48.84,1.95
FR-Hes,52,6.89,-0.28,0.14,48.67,7.06
FR-LBr,44,5.69,-0.27,0.32,44.72,-0.77
FR-Lq1,15,-21.6,-0.5,0.57,45.64,2.74
FR-Lq2,15,1.52,-0.52,0.43,45.64,2.74
FR-Pue,50,-1.07,-0.39,0.48,43.74,3.6
HU-Bug,19,8.1,-0.62,0.7,46.69,19.6
HU-Mat,18,36.84,-0.42,0.45,47.85,19.73
ID-Pag,8,-4.38,0.02,0.01,2.35,114.04
IL-Yat,57,-18.75,-0.81,0.6,31.35,35.05
IS-Gun,7,-27.04,-0.17,0.2,63.83,-20.22
IT-BCi,8,-57,-0.38,0.2,40.52,14.96
IT-Col,27,-3.5,-0.22,0.09,41.85,13.59
IT-Cpz,52,2.22,-0.55,0.49,41.71,12.38
IT-Lav,23,-0.82,-0.43,0.47,45.96,11.28
IT-Lec,10,-19.64,-0.38,0.35,43.3,11.27
IT-LMa,13,19.55,-1.7,0.52,45.58,7.15
IT-Mal,8,-7.29,-0.31,0.68,46.12,11.7
IT-MBo,16,2.43,-0.39,0.48,46.02,11.05
IT-Non,21,1.28,-0.21,0.06,44.69,11.09
IT-Pia,35,-24.68,-0.69,0.27,42.58,10.08
IT-PT1,15,-4.78,-0.4,0.49,45.2,9.06
IT-Ren,26,-10.37,-0.24,0.72,46.59,11.43
IT-Ro1,54,7.45,-0.25,0.3,42.41,11.93
IT-Ro2,21,7.14,-0.11,0.05,42.39,11.92
IT-SRo,62,8.63,-0.39,0.43,43.73,10.28
NL-Ca1,14,7.33,-0.61,0.56,51.97,4.93
NL-Loo,41,5.97,-0.26,0.27,52.17,5.74
PL-wet,12,55.9,0.08,0.37,52.76,16.31
PT-Esp,24,-13.57,-0.39,0.64,38.64,-8.6
PT-Mi1,11,22.32,-0.6,0.27,38.54,-8
PT-Mi2,15,27.59,-0.58,0.65,38.48,-8.02
RU-Fyo,35,-4.38,-0.01,0.07,56.46,32.92
RU-Ha1,13,7.03,-0.43,0.31,54.73,90
RU-Zot,11,14.09,-0.15,0.21,60.8,89.35
SE-Deg,9,18.49,-0.15,0.32,64.18,19.55
SE-Nor,23,1.29,-0.96,0.2,60.09,17.48
SE-Sk1,6,-103.56,-0.18,0.42,60.13,17.92
UK-ESa,9,33.2,-1.28,0.32,55.91,-2.86
UK-Gri,20,-19.06,-0.6,0.74,56.61,-3.8
UK-Ham,13,44,-0.03,0.13,51.12,-0.86
UK-PL3,11,59.17,-1.03,0.72,51.45,-1.27
US-Bar,7,46.99,-0.04,0.18,44.06,-71.29
US-Blo,72,8.14,-0.65,0.43,38.9,-120.63
US-Ha1,18,6.34,-0.16,0.24,42.54,-72.17
US-Ho1,45,4.5,-0.21,0.27,45.2,-68.74
US-MMS,23,-0.62,-0.03,0,39.32,-86.41
US-MOz,20,-8.06,-0.25,0.34,38.74,-92.2
US-Syv,18,2.23,-0.06,0.03,46.24,-89.35
US-Ton,52,6.48,-0.07,0.06,38.43,-120.97
US-UMB,14,-4.11,-0.14,0.08,45.56,-84.71
US-Var,41,-8.2,-0.56,0.4,38.41,-120.95
US-WCr,28,9,-0.13,0.18,45.81,-90.08
US-Wi4,17,-6.62,-0.11,0.1,46.74,-91.17
US-Wi5,6,9.32,0.6,0.38,46.65,-91.09
US-Wi9,7,40.93,-0.03,0.43,46.62,-91.08
ZA-Kru,15,-26.24,-0.36,0.15,-25.02,31.5